site,window,surface,observed_grid_cells_n,observed_mean,predicted_mean,rmse,mae,bias,r2_cv
DBO1,2014_2018,Bivalvia,6,6.32511111111111,6.206193789912986,3.712734241745935,3.0991150446143187,-0.118917321198125,-1.0458987030142013
DBO1,2014_2018,Sipuncula,6,0.0888888888888888,0.1013108619638609,0.1757608106362546,0.1652275817030694,0.012421973074972,-1.0865430652024326
DBO1,2014_2018,Total prey (summed),6,11.484555555555554,11.261792218105754,3.6733554226422833,3.365987967452771,-0.22276333744979984,-0.09817272282740519
DBO1,2017_2020,Polychaeta,6,4.544969222222222,4.210662892998675,1.4286916044177809,1.056560466811874,-0.3343063292235468,0.6290454466608459
DBO1,2017_2020,Bivalvia,6,6.079238111111111,6.129953021780416,2.243813368809241,1.6633589450796278,0.0507149106693053,0.3853247986401009
DBO1,2017_2020,Sipuncula,6,0.0577966666666666,0.0961259286889035,0.1897836973237219,0.1479807371002252,0.0383292620222368,-1.4292313552786888
DBO1,2017_2020,Total prey (summed),6,10.682004,10.436741843467995,1.5021676609912697,1.2699964097925496,-0.24526215653200442,0.8696689979996302
DBO4,2007_2011,Polychaeta,79,5.109386843114691,5.176096905557655,2.7479276169238616,1.8201670663359997,0.0667100624429629,0.3097183737521809
DBO4,2007_2011,Bivalvia,79,5.502019754507096,5.502256126276758,4.2729359532996725,2.8315923585839804,0.000236371769662,0.4222457060843305
DBO4,2007_2011,Sipuncula,79,1.7599144610663595,1.7722346404102547,2.4853354630254265,1.7153789479491532,0.012320179343895,-0.0035167203107535
DBO4,2007_2011,Total prey (summed),79,12.371321058688148,12.450587672244664,5.753893751095438,3.93439635465721,0.07926661355652014,0.09058103563611009
DBO4,2009_2013,Polychaeta,82,5.0278433422149345,5.064450625576981,2.6209389697564034,1.7076112677471973,0.0366072833620462,0.3635293741522644
DBO4,2009_2013,Bivalvia,82,6.651591856254697,6.811440496641661,4.373058309808475,3.026212597410878,0.1598486403869636,0.5367343294074165
DBO4,2009_2013,Sipuncula,82,1.6588662635786022,1.667905569080572,2.208625187583901,1.5822977465386912,0.0090393055019694,0.0193707006052602
DBO4,2009_2013,Total prey (summed),82,13.338301462048232,13.543796691299214,5.723543349266571,4.049716176411264,0.20549522925097896,0.16312057313618933
DBO4,2010_2014,Polychaeta,76,5.122458333333333,5.15663528064469,2.8335793968376715,1.91234853586177,0.0341769473113563,0.3564593525948984
DBO4,2010_2014,Bivalvia,76,6.795782894736843,6.8862353262074185,4.532009295269177,3.2652176976056575,0.0904524314705765,0.5016127577097964
DBO4,2010_2014,Sipuncula,76,1.820032894736842,1.856141215922997,2.446879938640772,1.8440586237161376,0.0361083211861549,-0.0044117018725942
DBO4,2010_2014,Total prey (summed),76,13.738274122807017,13.899011822775103,6.045902770039334,4.545646334888151,0.16073769996808776,0.09455088832085312
DBO4,2012_2016,Polychaeta,43,5.031542635658916,5.063867222930143,3.3837033151607914,2.392317808345196,0.0323245872712274,-0.0167051701198679
DBO4,2012_2016,Bivalvia,43,8.683786821705427,8.953420837919785,4.9013931208194075,3.4068892305183063,0.2696340162143578,0.4644411328971163
DBO4,2012_2016,Sipuncula,43,1.494624031007752,1.4585127436906475,2.206885227330208,1.518210170139353,-0.0361112873171043,-0.0418775264422686
DBO4,2012_2016,Total prey (summed),43,15.209953488372093,15.475800804540572,6.112717573594613,4.999554158619822,0.2658473161684813,-4.311943396961837e-05
DBO4,2013_2017,Polychaeta,38,5.569426710526317,5.647326880439068,4.500944584430429,3.074458616240469,0.0779001699127521,-0.0295112303007152
DBO4,2013_2017,Bivalvia,38,8.137420921052632,8.344237847696204,4.602913471702967,3.2793323820404185,0.2068169266435723,0.4585947221622767
DBO4,2013_2017,Sipuncula,38,1.851450175438597,1.9097815422262037,3.0188581282637843,2.077401219526748,0.0583313667876068,-0.4452949173453497
DBO4,2013_2017,Total prey (summed),38,15.558297807017547,15.901346270361474,6.608789864716923,5.121911522383544,0.3430484633439313,0.027566735681459065
DBO4,2016_2020,Polychaeta,41,5.554508252032521,5.566010449101534,4.177167508324405,2.743483820992531,0.0115021970690136,0.0209565368891336
DBO4,2016_2020,Bivalvia,41,8.332827764227643,8.502520573820412,4.109232509818624,3.1924051486573815,0.1696928095927685,0.5859427014911972
DBO4,2016_2020,Sipuncula,41,1.7447900406504069,1.8114240424272636,2.489341805058775,1.739357311840718,0.0666340017768571,-0.1806429402435498
DBO4,2016_2020,Total prey (summed),41,15.63212605691057,15.879955065349208,6.487971199737864,5.49711674667926,0.24782900843863948,0.0965283518565293
